sentence,review_title,Sentiment_Type
mr bhanuprakash jaiswar drives safely regular clients urgent normal requirements fulfilled priority basis round clock service punctual polite,Good service,1
family visited pondicherry cafe warmly received chef shadab vikash served us entire team excellent job considering dietary constraints grandparents tossed specific dishes excellent time food beyond delicious mixture cuisines scrumptious recommend everyone,Lunch at Sofitel,1
superb hospitality detailed service nicely welcomed took good care requirements extremely friendly social grateful excellent service visit,excellent service,1
fantastic lunch great time mr prakash made even special making friendship day memorable offered us beautiful cake bite made afternoon one remember long,Happy Friendship Day Celebration 🥳,1
stay sofitel bkc excellent spacious room really loved bathroom breakfast excellent courteous staff quick service location good especially u work near bkc area nit far airport loved coffee machine inside room,Stay at SofitelBKC,1
prakash really took care us dedicated patient personality food good really enjoyed specially thai food jain options taken grand mom non veg seemed fresh nicely prepared,Very good service,1
first stay sofitel really amazing thank team making stay special staff members polite one thing liked pondichery cafe great varities good service better trident bkc,Amazing stay,1
worse sofitel experience asia many people staying without wearing masks noone staff says anything horrible check experience avoid price go back hotel horrible experience,WORSE HOTEL,-1
good around room service good restaurant slacking im good tipper seem forget pracash one waiters wasnt always looked us gave excellent service maybe rest waiters werent experienced seem three waiters one sitting,Visa,1
mr noheed restaurant manager extremely cordial helpful comfort food requirements chef paresh sandeep specially made amazing hakka noodles child made daywas great family time,Amazing service and great food,1
great experience thanks great hospitality priyanka jena desk staff nice lovely rooms great service thank will back soon lovely hospitality,Sofitel at its best,1
wonderful stay hotel staff polite helpful times especially misskirsten mrmayank front desk extremely nice house keeping stewards courteous one staff dropped bags room check bald wears round glasses evidently pretentious tipping slammed door hard,Good Stay,1
service food sofitel restaurant excellent noheed jhony attended us high quality delicious food prepared chef rohit kene amazing chocolate truffle cake prepared chef renuka brilliant experience overall give rating 10 5,"A Must Visit - Sofitel, BKC Restaurant",1
excellent hotel excellent staff especially mr prakash helped us lot rooms clean beautiful stay amazing service great must recommend esp people visa interview mumbai consulate,Amazing hotel,1
nice room friendly staff rohan gym instructor especially helpful exercise gave nice tips exercises house keeping staff efficient helpful pondicherry restaurant nice buffet,Enjoyable weeks stay,1
beautiful cloudy friday checked sofitel bkc upon arrival enjoyed scrumptious lunch restaurant pondicherry admire sense class hotel offers ambience main lobbythe cleanliness floor lobbythe pampering provided us housekeepinginroom dining restaurant staff something made entire experience truly 5 star dinner buffet spread pondicherry highlight stay special thanks 1 noheed pondicherry 2 chef rohit kene delicious indian food 3 chef tushar exotic pizzas 4 jhony pondicherry 5 babruvan housekeeping,A Spectacular Monsoon Staycation,1
family back home much worried concerned hygiene food thank god able visit place food served hygiene well presented kudos,My Solo Visit to Mumbai,1
visiting sofitel many times years must say experience even exhilarating day amidst covid times sheer incredible way host comfort us front desk leaves one amiable experience special mention miss neha exceptional skills hospitality whole state art interiors decent little exorbitant food invigorating experience,One of the finest,1
hotel amazing kind hospitality exhibited staff starting checkin beyond everything experienced rooms clean well maintained kudos housekeeping team food pondicherry good stay seamless always strongly recommend 55,Best 5 Star In BKC,1
everything perfect required excellent room accommodations banquet hall tasty food cooperative staff facility banquet hall good must recommend stay business family functions,Excellent Hotel to stay,1
excellent food service pindicherry cafe mr tanmoy dinner family stay sofitel bkc mumbai family happy room upgrades provided us suite room club lounge class wing section check,Family Visit and Stay at Sofitel,1
came wife first time mumbai search good hotel pandamic cleaning sanitizing protocols follows nicely setted per govt rules aminoties enough good specially mentioned vishal dasgaonkar gave special bathsetup relaxation always ready help whatever ask good going way specially recommend superior keep vishal best wishes future,Best hotel to visit in mumbai,1
stayed sofitel family days traveling work comfortable staff good covid precautions enforced social distancing wearing masksgloves sanitizing hightouch areas etc used gym stay felt comfortable safety standpoint thanks helpful staff imran rohan others wiping gym use,Great visit,1
great experience pondicherry cafe amazing service great team cafe high appreciation mr tannoy pal akshay prakash great attitude courteous team members amazing experience well done keep best,Pondicherry Cafe … Great Experience,1
recently stayed family nice hotel rooms clean specious food good two days whenever enter room got new surprises shoes polished one book gave bookmark lovely service specially mentioned vishal d sukanta bharat housekeeping gave excellent service thank much guys kudos,Family,1
excellent stay lavish breakfast options hassle booking dgm executive thought will never visit properties please reconsider training keep updated services website aware keep arguing hotel amenities breakfast won battle,Mrs,1
sofitel sure best hotel experience possibly starting interior food welcoming hospitality amazingly polite neha painuly made stay joyful efficient friendly made feel extra special thank much neha hospitality,Amazing food and courteous staff,1
visited spa soothing experience value money love go special mention therapist hazel lot care taken room temperature music really impressed service definitely recommend,Visit to Sofitel spa 10/10,1
mindblowing say experience seven wonders exaggerating mean lovely lovely experience travelled mumbai years chose stay beautiful hotel sofitel went good wednesday spa massage man one heck wonderful experience love ambience water droplets living wonder way welcomed us welcome ritual done traditional mind blowing way total ga ga took extremely well care us couldnt stop bragging definitely coming first thing sofitelspa come mumbai big thanks sofitelbkc,If only we could add a 8th wonder in ths list definitely sofitel spa bkc BEAUTIFUL is too short of a compliment for it,1
travelling often mumbai work days loyal customer accor group hotels loyal customer benefits days rates slashed sofitel running full reduced staff service pressure really satisfactory need mention assistant restaurant manager mr noheed shaikh taking special care whenever stayed hotel special thanks noheed mention sufiyan prompt service restaurant chef mr vividh patil treating us well thank team making stay comfortable,My stay at Sofitel,1
room service fantastic staff always helped making bubble bath well fantastic tub bath experience food tasty mr nagesh welcoming helped room dining requirements perfect business stays touch luxury staff helpful kind definitely thumbs,Best in-house team,1
wonderful experience hotel every staff member encountered valet cleaning staff everyone delightful eager help specially ishanpraful chinmey hk l really recommend hotel friends colleagues,Vacation,1
excellent service hotel specially mentioned vishal dasgaonkar housekeeping serviced room well nicely setup amminities whatever need already placed room thank hospitality see soon,Housekeeper as it's good way,1
massage excellent rules regulations followed spa spa amazing therapist wonderful resource good excellent services staff everyone professional accomodating,Review of the SPA,1
one favourite places dine mumbai visit jomal lopez chef fantastic beautiful smile ready take tasty lane cuisines makes sure guest best time experienced multiple visits akshay pardeshi always makes best drinks incredible recommendation drink gets mindblowing thank cindrella noheed manoj jangid asset sofitel missed property will visit guys next time india thank experience guys made birthday special ps puneet dhawan sofitel best accor property mumbai jewel staff cheers,"Awesome people, excellent experience best Accor property in Mumbai, India",1
absolutely wonderful matter treatment always feel queen leave everyone professional accommodating amazing place relax long working hours therapist knowledgable understand best treatment suggest signature treatmemt amazing wonderfull treatmemt thank much sofitel spa,Very good massage and great experience,1
food absolutely wonderful thank chef tushar preparation presentation pleasing especially enjoyed special bar drinks cucumbercilantro infused vodka martini kp aquarium great even took photos try replicate home,Fantastic meal,1
actually sad see hospitality industry got much badly affected pandemic many restaurantsclub area swimming pool closed buffet menu shortenedbut even less number staff sofitel able make experience good staff welcoming lunch dinner buffet even though limited options made delicious per customer tastes reduced cost sufiyanvaishali staff pondicherry cafe served us best possible way felt warmth hospitality hope hospitality industry bounces back works full swing serving us enthusiasm pandemic,Safe and courteous service,1
multiple intense sessions working gym 4th floor guidance mr imran equipment sanitized use ample ventilation makes safe convenient use open 700 400 pm everyday imran sir array equipment makes experience worth,Inspiring ambience and architecture at the Gym and Rooms,1
came visa interview stayed 14 th floor whenever came room feels home nicely set upkeep gives wonderfull feeling nice fragrance room vishal dasgaonkar housekeeping giving excellent service guest keep thanks guesture,Best  services from hotel,1
must visit place everyone rememberable stay till date amazing efforts done ishaan praful chinmay hk thanks wonderful service will soon visiting,Wonderful Stay,1
visited friends extremely happy service house keeping staff namely ishaan prasanna shailesh given great service made stay peaceful grateful entire staff thankyou,Excellent service,1
great experience specialy devraj private dinning took good care gave excellent service room good great experience living pandemic thank service prefer hotel others,Excellent service,1
lovely time food amazing best hospitality staff hotel gives real comfort personalized attention thank lovely treatment thank sofitel mumbai bkc team,Awesome stay at Sofitel BKC,1
got another chance visit sofitel mumbai bkc exceptional service provided staff hotel concierge desk people super helpful loved brekfast enjoyed spa looking forward next visit delicious food,Best in Mumbai,1
hosted small roka function beautiful property magnificent ballroom nicelooking foyer much pleased allthrough experience team ms khyati othersat sofitel cooperative right sending prompt quotes helping finalise event assisting every step speculative menu finalization due covid food tasting allowed chef mr sanket joshi assisted us well various options assured will best keeping mind food taste family guests final event day happy arrangements special mention needs given chef mr sanket joshi team sofitel putting fantabulous,Hospitality at it's best @Sofitel Bkc,1
undertook nights stay respite daily humdrum much many us glad picked novotel withstanding significant demand visibly tending hotel made sure extra make us feel completely home folks car valet doorman reception house keeping room service restaurant staff manager nithin uniform feedback professionalism friendliness thanks kids enjoyed given pandemic running away anytime soon will back soon cheers,Home stay,1
well infrastructure arrangements food quaility good day one improved 2nd 3rd day staffs much professional maintained hygiene hotel,AU Bank Training,-1
